key;category;total_count
002 PERCENT;Attributes;1
05 PERCENT;Attributes;1
1;Attributes;1308
1/100TH;Attributes;1
1/3;Attributes;1
10;Attributes;50
10 BUSINESS DAYS;Attributes;2
10 DAYS;Attributes;8
10 PERCENT;Attributes;16
10 YEARS;Attributes;8
100;Attributes;18
100 PERCENT;Attributes;1
1000;Attributes;7
10000;Attributes;4
100000;Attributes;7
1000000;Attributes;10
100000000;Attributes;4
1000000000;Attributes;4
10000000000;Attributes;18
1000000000000;Attributes;1
101 PERCENT;Attributes;1
10-YEAR;Attributes;3
12;Attributes;74
12 MONTHS;Attributes;24
120 DAYS;Attributes;6
120-DAY;Attributes;2
1244000000;Attributes;1
125;Attributes;2
1259000000;Attributes;1
12-MONTH;Attributes;5
133;Attributes;1
135 PERCENT;Attributes;2
14 DAYS;Attributes;2
14 UNIT;Attributes;1
1-4 UNIT;Attributes;1
140000;Attributes;2
15;Attributes;75
15 DAYS;Attributes;6
15 MONTHS;Attributes;3
15 PERCENT;Attributes;2
150;Attributes;6
150000;Attributes;1
150000000;Attributes;2
1500000000;Attributes;2
15000000000;Attributes;1
150-DAY;Attributes;1
15-DAY;Attributes;2
1750000000;Attributes;1
175000000000;Attributes;1
18 MONTHS;Attributes;23
180 DAYS;Attributes;39
180-DAY;Attributes;9
18-MONTH;Attributes;7
1970;Attributes;2
1995;Attributes;1
1996;Attributes;1
1-MONTH;Attributes;1
1ST;Attributes;5
1-YEAR;Attributes;24
2;Attributes;1117
2 MONTHS;Attributes;2
2 YEARS;Attributes;28
2/3;Attributes;23
20;Attributes;22
2000;Attributes;3
20000;Attributes;3
20000000;Attributes;1
200000000;Attributes;3
2000000000;Attributes;1
200000000000;Attributes;1
2001;Attributes;1
2002;Attributes;1
2003;Attributes;3
2004;Attributes;3
2005;Attributes;1
2006;Attributes;1
2007;Attributes;3
2008;Attributes;3
2009;Attributes;5
2010;Attributes;8
2011;Attributes;12
2012;Attributes;16
2013;Attributes;5
2014;Attributes;3
2015;Attributes;2
21 DAYS;Attributes;3
210;Attributes;2
2250000000;Attributes;1
23;Attributes;14
24 HOURS;Attributes;6
24 MONTHS;Attributes;7
24-HOUR;Attributes;1
24-MONTH;Attributes;1
25;Attributes;20
25 PERCENT;Attributes;3
2500;Attributes;2
25000;Attributes;3
250000;Attributes;9
25000000;Attributes;3
250000000;Attributes;1
2500000000;Attributes;1
270 DAYS;Attributes;9
28 DAYS;Attributes;1
28 PERCENT;Attributes;1
2ND;Attributes;4
2-YEAR;Attributes;18
3;Attributes;667
3 DAYS;Attributes;4
30;Attributes;14
30 DAYS;Attributes;54
