1/100TH;Attributes;1
10 BUSINESS DAYS;Attributes;2
10 DAYS;Attributes;8
10 YEARS;Attributes;8
12 MONTHS;Attributes;24
120 DAYS;Attributes;6
14 DAYS;Attributes;2
15 DAYS;Attributes;6
15 MONTHS;Attributes;3
18 MONTHS;Attributes;23
180 DAYS;Attributes;39
1ST;Attributes;5
2 MONTHS;Attributes;2
2 YEARS;Attributes;28
21 DAYS;Attributes;3
24 HOURS;Attributes;6
24 MONTHS;Attributes;7
270 DAYS;Attributes;9
28 DAYS;Attributes;1
2ND;Attributes;4
3 DAYS;Attributes;4
30 DAYS;Attributes;54
30 LEGISLATIVE DAYS;Attributes;1
30 MONTHS;Attributes;6
36 MONTHS;Attributes;2
360 DAYS;Attributes;5
365 DAYS;Attributes;1
3RD;Attributes;3
45 DAYS;Attributes;5
4TH;Attributes;2
5 YEARS;Attributes;33
6 MONTHS;Attributes;27
6 YEARS;Attributes;5
60 DAYS;Attributes;36
65 PERCENTAGE POINTS;Attributes;1
6TH;Attributes;3
7 YEARS;Attributes;1
8 MONTHS;Attributes;1
85 PERCENTAGE POINTS;Attributes;2
9 MONTHS;Attributes;7
90 CALENDAR DAYS;Attributes;1
90 DAYS;Attributes;48
WELLS;Attributes;1
ABS;EconomicOperands;1
ABUSES;EconomicOperands;2
ACADEMICS;EconomicOperands;4
ACCEPTANCES;EconomicOperands;5
ACCEPTING BIDS;EconomicOperands;2
ACCOMMODATIONS;EconomicOperands;1
ACCOUNTANTS;EconomicOperands;5
ACCOUNTING STANDARDS;EconomicOperands;6
ACCRUALS;EconomicOperands;5
ACCURATE TRADE RECONSTRUCTIONS;EconomicOperands;5
ACT TRANSACTIONS;EconomicOperands;1
ACTIVITIES CONDUCTED;EconomicOperands;7
ACTORS;EconomicOperands;2
ACTUAL DAMAGES;EconomicOperands;2
ACTUAL DIRECT COMPENSATORY DAMAGES;EconomicOperands;4
ADDRESSES;EconomicOperands;6
ADJUSTABLE RATE MORTGAGES;EconomicOperands;2
ADMINISTRATIVE EXPENSES OF THE RECEIVER;EconomicOperands;5
ADMINISTRATORS;EconomicOperands;2
ADVANTAGES;EconomicOperands;2
ADVANTAGES AND DISADVANTAGES;EconomicOperands;1
ADVERSE CIRCUMSTANCES;EconomicOperands;1
ADVERSE EFFECTS;EconomicOperands;11
ADVERTISEMENTS;EconomicOperands;4
ADVOCATES;EconomicOperands;3
AFFECTS;EconomicOperands;12
AFFILIATE TRANSACTIONS;EconomicOperands;3
AFFIRMATIONS;EconomicOperands;2
AGENCY SECURITIES;EconomicOperands;1
AGENCYS;EconomicOperands;8
AIDS;EconomicOperands;3
ALLEGATIONS;EconomicOperands;7
ALLOCATIONS;EconomicOperands;1
ALT-A LOANS;EconomicOperands;2
ALTERNATIVE APPROACHES;EconomicOperands;2
ANALYSTS;EconomicOperands;5
DERIVATIVE MARKETS;EconomicOperands;2
ANNOUNCEMENTS;EconomicOperands;1
ANNUAL GROSS REVENUES DERIVED;EconomicOperands;2
ANNUITIES;EconomicOperands;5
ANSWER QUESTIONS;EconomicOperands;1
ANTITRUST LAWS;EconomicOperands;4
APPEARANCES;EconomicOperands;4
APPOINTMENTS;EconomicOperands;2
APPRAISERS;EconomicOperands;23
APPROACHES;EconomicOperands;8
APPROPRIATE CONGRESSIONAL COMMITTEES;EconomicOperands;9
APPROPRIATED MONEYS;EconomicOperands;1
ARCHIVIST OF THE UNITED STATES;EconomicOperands;1
ARGUMENTS;EconomicOperands;1
ARRANGERS;EconomicOperands;1
ASPECTS;EconomicOperands;3
ASSESS;EconomicOperands;20
ASSESSES;EconomicOperands;1
ASSET-BACKED SECURITIES;EconomicOperands;20
ASSISTS;EconomicOperands;2
ASSOCIATED PERSON OF A SECURITIES HOLDING COMPANY;EconomicOperands;1
ASSOCIATES;EconomicOperands;1
ASSUMPTIONS;EconomicOperands;8
ASSURANCES;EconomicOperands;6
ATTEMPTS;EconomicOperands;3
ATTORNEYS;EconomicOperands;13
AUDITED FINANCIAL STATEMENTS;EconomicOperands;6
AUDITORS;EconomicOperands;2
AUTO LOANS;EconomicOperands;1
AUTOMATED TELLER MACHINES;EconomicOperands;3
BACHELORS DEGREE;EconomicOperands;1
BACKGROUNDS;EconomicOperands;1
BALANCES MAINTAINED;EconomicOperands;1
BALLOON LOANS;EconomicOperands;2
BALLOON PAYMENTS;EconomicOperands;5
BANK FOR INTERNATIONAL SETTLEMENTS;EconomicOperands;2
BANK HOLDING COMPANIES;EconomicOperands;59
BANKERS;EconomicOperands;4
BANKERS BANK;EconomicOperands;1
BANKERS BANKS;EconomicOperands;1
BARRIERS;EconomicOperands;5
BASES;EconomicOperands;2
BEGINS;EconomicOperands;8
BEHAVIORS;EconomicOperands;1
BELIEVES;EconomicOperands;6
BELIEVES AFFECTS;EconomicOperands;1
BENEFICIARIES;EconomicOperands;1
BENEFITS AND RISKS;EconomicOperands;2
BIDS;EconomicOperands;2
BLOCK TRADES;EconomicOperands;4
BOARD OF GOVERNORS;EconomicOperands;529
BODIES;EconomicOperands;5
BONA FIDE DISCOUNT POINTS;EconomicOperands;8
BONDS;EconomicOperands;3
BONUSES;EconomicOperands;2
BOOKS;EconomicOperands;31
BORROWERS;EconomicOperands;32
BRANCHES;EconomicOperands;23
BREAKS;EconomicOperands;1
BRIBES;EconomicOperands;1
BROCHURES;EconomicOperands;1
BROKER-DEALERS;EconomicOperands;3
BROKERS;EconomicOperands;96
BUBBLES;EconomicOperands;2
BUDGETED EXPENDITURES;EconomicOperands;1
BUDGETS;EconomicOperands;1
BURDENS;EconomicOperands;4
BUREAU OF LABOR STATISTICS;EconomicOperands;3
BUSINESS ACTIVITIES;EconomicOperands;4
BUYERS;EconomicOperands;2
CALCULATIONS;EconomicOperands;1
CALLS;EconomicOperands;3
CAMPERS;EconomicOperands;1
CANDIDATES;EconomicOperands;2
CAPABILITIES;EconomicOperands;5
CAPITAL LEVELS;EconomicOperands;4
CAPITAL REQUIREMENTS;EconomicOperands;49
CAPITAL STANDARDS;EconomicOperands;5
CARRIERS;EconomicOperands;1
CARRIES OUT;EconomicOperands;4
CATEGORIES;EconomicOperands;20
CAUSES;EconomicOperands;4
CAUSES OF;EconomicOperands;3
CEASES;EconomicOperands;4
CENTERS;EconomicOperands;2
CENTRAL BANKS;EconomicOperands;4
CERTIFICATES;EconomicOperands;6
CERTIFICATIONS;EconomicOperands;10
CHAIRPERSONS;EconomicOperands;1
CHALLENGES;EconomicOperands;3
CHARACTERISTICS;EconomicOperands;12
CHECKS;EconomicOperands;6
CHOICES;EconomicOperands;3
CITATIONS;EconomicOperands;1
CITIES;EconomicOperands;1
CITIZENS;EconomicOperands;2
CIVILIANS;EconomicOperands;1
CLASSIFICATIONS;EconomicOperands;3
CLEARING REQUIREMENTS;EconomicOperands;6
CLEARS;EconomicOperands;15
CLERKS;EconomicOperands;1
CLIENTS;EconomicOperands;14
CLOSING RANGES;EconomicOperands;1
COLLARS;EconomicOperands;1
COLLATERAL REQUIREMENTS;EconomicOperands;3
COLLATERALIZED DEBT OBLIGATIONS;EconomicOperands;3
COLLECTORS;EconomicOperands;1
COLLECTS;EconomicOperands;5
COLLEGES;EconomicOperands;2
COMBINES;EconomicOperands;1
COMMERCIAL DEVELOPMENT OF OIL NATURAL GAS OR MINERALS;EconomicOperands;7
COMMERCIAL FIRMS;EconomicOperands;2
COMMISSIONERS;EconomicOperands;4
COMMITMENTS;EconomicOperands;2
COMMITTEE ON BANKING HOUSING AND URBAN AFFAIRS;EconomicOperands;98
COMMITTEE ON FINANCIAL SERVICES;EconomicOperands;11
COMMITTEE ON FINANCIAL SERVICES OF THE HOUSE;EconomicOperands;86
COMMITTEE ON WAYS AND MEANS;EconomicOperands;2
COMMITTEES ON AGRICULTURE;EconomicOperands;1
COMMITTEES ON AGRICULTURE NUTRITION AND FORESTRY;EconomicOperands;1
COMMITTEES ON FINANCIAL SERVICES AND WAYS AND MEANS;EconomicOperands;2
COMMODITY FUTURES TRADING COMMISSION;EconomicOperands;155
COMMONWEALTH OF THE NORTHERN MARIANA ISLANDS;EconomicOperands;2
COMMUNICATIONS;EconomicOperands;7
COMMUNITY BANKS;EconomicOperands;1
COMPANYS;EconomicOperands;9
COMPILATIONS;EconomicOperands;1
COMPILATIONS STORED;EconomicOperands;1
COMPONENTS;EconomicOperands;5
COMPTROLLER GENERAL OF THE UNITED STATES;EconomicOperands;61
COMPUTERS;EconomicOperands;1
COMPUTING RESOURCES;EconomicOperands;1
CONCENTRATIONS;EconomicOperands;4
CONCLUDE PROCEEDINGS;EconomicOperands;1
CONCLUSIONS;EconomicOperands;6
CONDUCTS;EconomicOperands;12
CONFLICTS;EconomicOperands;10
CONFLICTS OF INTEREST;EconomicOperands;78
CONNECTIONS;EconomicOperands;3
CONSENTS;EconomicOperands;6
CONSTRAINTS;EconomicOperands;1
CONSUMER FINANCIAL PROTECTION FUNCTIONS;EconomicOperands;23
CONSUMER PRICE INDEX FOR ALL URBAN CONSUMERS;EconomicOperands;1
CONSUMER REPORTING AGENCY THAT COMPILES AND MAINTAINS FILES ON CONSUMERS ON A NATIONWIDE BASIS;EconomicOperands;1
CONTRACTORS;EconomicOperands;5
CONVERSION IMPLEMENTS;EconomicOperands;1
CONVERSIONS;EconomicOperands;4
CORE DEPOSITS;EconomicOperands;7
CORE PRINCIPLES;EconomicOperands;31
CORNERS;EconomicOperands;1
CORPORATIONS;EconomicOperands;4
COSTS OF;EconomicOperands;27
COUNCIL OF INSPECTORS GENERAL;EconomicOperands;14
COUNCILS;EconomicOperands;2
COUNSELORS;EconomicOperands;6
COUNTERPARTS;EconomicOperands;2
COUNTRIES;EconomicOperands;13
COUNTRYS;EconomicOperands;3
COURSES;EconomicOperands;5
COURT OF APPEALS;EconomicOperands;12
CREDENTIALS;EconomicOperands;1
CREDIT CARDS;EconomicOperands;5
CREDIT DEFAULT SWAPS;EconomicOperands;2
CREDIT ENHANCEMENTS;EconomicOperands;2
CREDIT RATING AGENCIES;EconomicOperands;10
CREDIT RATINGS;EconomicOperands;57
CREDIT SCORES;EconomicOperands;4
CREDIT UNIONS;EconomicOperands;11
CULTURAL STYLES;EconomicOperands;1
CURE DEFECTS;EconomicOperands;1
CURRENCIES;EconomicOperands;10
CUSTOMER NAME SECURITIES;EconomicOperands;9
DAMAGES PROXIMATELY CAUSED;EconomicOperands;1
DANGERS;EconomicOperands;1
DATABASES;EconomicOperands;1
DEALINGS;EconomicOperands;2
DEALS;EconomicOperands;1
DEBIT CARDS;EconomicOperands;6
DEBTS;EconomicOperands;3
DECISIONS;EconomicOperands;22
DECLINES;EconomicOperands;1
DEFENDANTS;EconomicOperands;2
DEGREES;EconomicOperands;1
DELETIONS;EconomicOperands;1
DELIBERATIONS;EconomicOperands;2
DEPARTMENTS;EconomicOperands;7
DEPOSITORIES;EconomicOperands;1
DEPOSITORS;EconomicOperands;4
DEPOSITORY INSTITUTIONS;EconomicOperands;26
DERIVATIVES CLEARING ORGANIZATION;EconomicOperands;172
DERIVATIVES MARKETS;EconomicOperands;2
DESCRIPTIONS;EconomicOperands;6
DESIGNATING DOCUMENTS;EconomicOperands;1
DESIRES;EconomicOperands;1
DETAILS;EconomicOperands;11
DETER ABUSES;EconomicOperands;2
DEVELOPMENTS;EconomicOperands;10
DIFFERENCES;EconomicOperands;15
DIFFERENTIATIONS;EconomicOperands;2
DIRECTIVES;EconomicOperands;4
DIRECTOR OF THE PEACE CORPS;EconomicOperands;1
DISADVANTAGES;EconomicOperands;1
DISCIPLINES;EconomicOperands;1
DISCUSS;EconomicOperands;3
DISPARITIES;EconomicOperands;1
DISPOSITIONS;EconomicOperands;1
DISPUTANTS;EconomicOperands;2
DISPUTES ARISING;EconomicOperands;2
DISQUALIFYING FELONS;EconomicOperands;1
DISRUPTIONS;EconomicOperands;5
DISTRIBUTIONS;EconomicOperands;3
DIVERSE BACKGROUNDS;EconomicOperands;2
DIVISIONS;EconomicOperands;6
DOLLARS;EconomicOperands;2
DWELLINGS;EconomicOperands;2
DYNAMICS;EconomicOperands;1
ECONOMIES;EconomicOperands;1
ECONOMISTS;EconomicOperands;2
EDUCATION INITIATIVES;EconomicOperands;2
