name_entity;year
"ALLY FINANCIAL INC.";2015
"AMERICAN EXPRESS COMPANY";2015
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.";2015
"BANCO SANTANDER, S.A.";2015
"BANK OF AMERICA CORPORATION";2015
"BANK OF CHINA LIMITED";2015
"BANK OF MONTREAL";2015
"BANK OF NOVA SCOTIA";2015
"BARCLAYS BANK PLC";2015
"BB_T CORPORATION";2015
"BNP PARIBAS USA, INC.";2015
"BPCE";2015
"CAPITAL ONE FINANCIAL CORPORATION";2015
"CITIGROUP";2015
"COMERICA INCORPORATED";2015
"COOPERATIEVE RABOBANK U.A.";2015
"CREDIT AGRICOLE S.A.";2015
"CREDIT SUISSE GROUP, A.G.";2015
"DEUTSCHE BANK AG";2015
"DISCOVER FINANCIAL SERVICES";2015
"FIFTH THIRD BANCORP";2015
"HSBC HOLDINGS PLC";2015
"HUNTINGTON BANCSHARES INCORPORATED";2015
"INDUSTRIAL AND COMMERCIAL BANK OF CHINA";2015
"JPMORGAN CHASE _ CO";2015
"KEYCORP";2015
"MITSUBISHI UFJ FINANCIAL GROUP";2015
"MIZUHO FINANCIAL GROUP";2015
"MORGAN STANLEY";2015
"M_T BANK CORPORATION";2015
"NORTHERN TRUST CORPORATION";2015
"REGIONS FINANCIAL CORPORATION";2015
"ROYAL BANK OF CANADA";2015
"SOCIETE GENERATE";2015
"STANDARD CHARTERED PLC";2015
"STATE STREET CORPORATION";2015
"SUMITOMO MITSUI FINANCIAL GROUP";2015
"SUNTRUST BANKS, INC";2015
"THE BANK OF NEW YORK MELLON CORPORATION";2015
"THE GOLDMAN SACHS GROUP, INC";2015
"THE NORINCHUKIN BANK";2015
"TORONTODOMINION BANK";2015
"U.S. BANCORP";2015
"UBS GROUP AG";2015
"WELLS FARGO _ COMPANY";2015
"ZIONS BANCORPORATION";2015
"BANK OF AMERICA CORPORATION";2016
"BANK OF NEW YORK MELLON CORPORATION";2016
"CIT GROUP INC.";2016
"CITIZENS FINANCIAL GROUP";2016
"JPMORGAN CHASE _ CO";2016
"STATE STREET CORPORATION";2016
"WELLS FARGO _ COMPANY";2016
"BANK OF AMERICA CORPORATION";2017
"CITIGROUP INC.";2017
"JPMORGAN CHASE _ CO.";2017
"MORGAN STANLEY";2017
"THE BANK OF NEW YORK MELLON CORPORATION";2017
"THE GOLDMAN SACHS GROUP";2017
"WELLS FARGO _ COMPANY";2017
"BARCLAYS";2018
"CREDIT SUISSE";2018
"DEUTSCHE BANK";2018
"UBS";2018
" AMERICAN EXPRESS COMPANY";2019
"ALLY FINANCIAL INC_";2019
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A_";2019
"BANCO SANTANDER, S.A_";2019
"BANK OF AMERICA CORPORATION";2019
"BANK OF MONTREAL";2019
"BB_T CORPORATION";2019
"BNP PARIBAS";2019
"CAPITAL ONE FINANCIAL CORPORATION";2019
"CITIGROUP INC_";2019
"DISCOVER FINANCIAL SERVICES";2019
"FIFTH THIRD BANCORP";2019
"HSBC HOLDINGS PLC";2019
"Huntington Bancshares Incorporated";2019
"JPMORGAN CHASE _ CO_";2019
"KEYCORP";2019
"LLOYDS BANKING GROUP PLC";2019
"MORGAN STANLEY";2019
"M_T BANK CORPORATION";2019
"NORTHERN TRUST CORPORATION";2019
"NORTHERN TRUST CORPORATION(1)";2019
"REGIONS FINANCIAL CORPORATION";2019
"ROYAL BANK OF CANADA";2019
"STATE STREET CORPORATION";2019
"SUNTRUST BANKS, INC_";2019
"THE BANK OF NEW YORK MELLON CORPORATION";2019
"THE GOLDMAN SACHS GROUP, INC_";2019
"THE PNC FINANCIAL SERVICES GROUP, INC_";2019
"THE TORONTODOMINION BANK";2019
"U.S. BANCORP";2019
"WELLS FARGO _ COMPANY";2019
"BARCLAYS PLC";2022
"BNP PARIBAS";2022
"CREDIT SUISSE GROUP AG";2022
"DEUTSCHE BANK AKTIENGESELLSCHAFT";2022
"HSBC HOLDINGS PLC";2022
"TEMPLATE LETTER TO FOREIGN BANKING ORGANIZATIONS WITH RESOLUTION PLANS DUE ON OR BEFORE JULY 1, 2022";2022
