name_entity,year,date
ALLY FINANCIAL INC.,2015,"March 24, 2017"
AMERICAN EXPRESS COMPANY,2015,"March 24, 2017"
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",2015,"January 29, 2018"
"BANCO SANTANDER, S.A.",2015,"January 29, 2018"
BANK OF AMERICA CORPORATION,2015,"April 12, 2016"
BANK OF CHINA LIMITED,2015,"January 29, 2018"
BANK OF MONTREAL,2015,"January 29, 2018"
BANK OF NOVA SCOTIA,2015,"January 29, 2018"
BARCLAYS BANK PLC,2015,"March 24, 2017"
BB_T CORPORATION,2015,"March 24, 2017"
"BNP PARIBAS USA, INC.",2015,"January 29, 2018"
BPCE,2015,"January 29, 2018"
CAPITAL ONE FINANCIAL CORPORATION,2015,"March 24, 2017"
CITIGROUP,2015,"April 12, 2016"
COMERICA INCORPORATED,2015,"March 24, 2017"
COOPERATIEVE RABOBANK U.A.,2015,"January 29, 2018"
CREDIT AGRICOLE S.A.,2015,"January 29, 2018"
"CREDIT SUISSE GROUP, A.G.",2015,"March 24, 2017"
DEUTSCHE BANK AG,2015,"March 24, 2017"
DISCOVER FINANCIAL SERVICES,2015,"March 24, 2017"
FIFTH THIRD BANCORP,2015,"March 24, 2017"
HSBC HOLDINGS PLC,2015,"January 29, 2018"
HUNTINGTON BANCSHARES INCORPORATED,2015,"March 24, 2017"
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2015,"January 29, 2018"
JPMORGAN CHASE _ CO,2015,"April 12, 2016"
KEYCORP,2015,"March 24, 2017"
MITSUBISHI UFJ FINANCIAL GROUP,2015,"January 29, 2018"
MIZUHO FINANCIAL GROUP,2015,"January 29, 2018"
MORGAN STANLEY,2015,"April 12, 2016"
M_T BANK CORPORATION,2015,"March 24, 2017"
NORTHERN TRUST CORPORATION,2015,"March 24, 2017"
REGIONS FINANCIAL CORPORATION,2015,"March 24, 2017"
ROYAL BANK OF CANADA,2015,"January 29, 2018"
SOCIETE GENERATE,2015,"January 29, 2018"
STANDARD CHARTERED PLC,2015,"January 29, 2018"
STATE STREET CORPORATION,2015,"April 12, 2016"
SUMITOMO MITSUI FINANCIAL GROUP,2015,"January 29, 2018"
"SUNTRUST BANKS, INC",2015,"March 24, 2017"
THE BANK OF NEW YORK MELLON CORPORATION,2015,"April 12, 2016"
"THE GOLDMAN SACHS GROUP, INC",2015,"April 12, 2016"
THE NORINCHUKIN BANK,2015,"January 29, 2018"
TORONTODOMINION BANK,2015,"January 29, 2018"
U.S. BANCORP,2015,"March 24, 2017"
UBS GROUP AG,2015,"March 24, 2017"
WELLS FARGO _ COMPANY,2015,"April 12, 2016"
ZIONS BANCORPORATION,2015,"March 24, 2017"
BANK OF AMERICA CORPORATION,2016,"December 13, 2016"
BANK OF NEW YORK MELLON CORPORATION,2016,"December 13, 2016"
CIT GROUP INC.,2016,"March 1, 2018"
CITIZENS FINANCIAL GROUP,2016,"March 1, 2018"
JPMORGAN CHASE _ CO,2016,"December 13, 2016"
STATE STREET CORPORATION,2016,"December 13, 2016"
WELLS FARGO _ COMPANY,2016,"December 13, 2016"
BANK OF AMERICA CORPORATION,2017,"December 19, 2017"
CITIGROUP INC.,2017,"December 19, 2017"
JPMORGAN CHASE _ CO.,2017,"December 19, 2017"
MORGAN STANLEY,2017,"December 19, 2017"
THE BANK OF NEW YORK MELLON CORPORATION,2017,"December 19, 2017"
THE GOLDMAN SACHS GROUP,2017,"December 19, 2017"
WELLS FARGO _ COMPANY,2017,"December 19, 2017"
BARCLAYS,2018,"December 20, 2018"
CREDIT SUISSE,2018,"December 20, 2018"
DEUTSCHE BANK,2018,"December 20, 2018"
UBS,2018,"December 20, 2018"
 AMERICAN EXPRESS COMPANY,2019,"March 29, 2019"
ALLY FINANCIAL INC_,2019,"March 29, 2019"
"BANCO BILBAO VIZCAYA ARGENTARIA, S.A_",2019,"July 26, 2019"
"BANCO SANTANDER, S.A_",2019,"July 26, 2019"
BANK OF AMERICA CORPORATION,2019,"December 16, 2019"
BANK OF MONTREAL,2019,"July 26, 2019"
BB_T CORPORATION,2019,"March 29, 2019"
BNP PARIBAS,2019,"July 26, 2019"
CAPITAL ONE FINANCIAL CORPORATION,2019,"March 29, 2019"
CITIGROUP INC_,2019,"December 16, 2019"
DISCOVER FINANCIAL SERVICES,2019,"March 29, 2019"
FIFTH THIRD BANCORP,2019,"March 29, 2019"
HSBC HOLDINGS PLC,2019,"July 26, 2019"
Huntington Bancshares Incorporated,2019,"March 29, 2019"
JPMORGAN CHASE _ CO_,2019,"December 16, 2019"
KEYCORP,2019,"March 29, 2019"
LLOYDS BANKING GROUP PLC,2019,"July 26, 2019"
MORGAN STANLEY,2019,"December 16, 2019"
M_T BANK CORPORATION,2019,"March 29, 2019"
NORTHERN TRUST CORPORATION,2019,"March 29, 2019"
NORTHERN TRUST CORPORATION(1),2019,"March 29, 2019"
REGIONS FINANCIAL CORPORATION,2019,"March 29, 2019"
ROYAL BANK OF CANADA,2019,"July 26, 2019"
STATE STREET CORPORATION,2019,"December 16, 2019"
"SUNTRUST BANKS, INC_",2019,"March 29, 2019"
THE BANK OF NEW YORK MELLON CORPORATION,2019,"December 16, 2019"
"THE GOLDMAN SACHS GROUP, INC_",2019,"December 16, 2019"
"THE PNC FINANCIAL SERVICES GROUP, INC_",2019,"March 29, 2019"
THE TORONTODOMINION BANK,2019,"July 26, 2019"
U.S. BANCORP,2019,"March 29, 2019"
WELLS FARGO _ COMPANY,2019,"December 16, 2019"
BARCLAYS PLC,2022,"December 15, 2022"
BNP PARIBAS,2022,"December 15, 2022"
CREDIT SUISSE GROUP AG,2022,"December 15, 2022"
DEUTSCHE BANK AKTIENGESELLSCHAFT,2022,"December 15, 2022"
HSBC HOLDINGS PLC,2022,"December 15, 2022"
"TEMPLATE LETTER TO FOREIGN BANKING ORGANIZATIONS WITH RESOLUTION PLANS DUE ON OR BEFORE JULY 1, 2022",2022,"December 14, 2022"
