;ALLAY FINANCIAL
;AMERICAN EXPRESS
;BANCO BILBAO VIZCAYA ARGENTARIA
;BANCO SANTANDER
US BANCORP;US BANCORP
BANK OF AMERICA CORP;BANK OF AMERICA
;BANK OF CHINA
;BANK OF MONTREAL
;BANK OF NEW YORK MELLON CORPORATION
;BANK OF NOVA SCOTIA
;BANK OF NY MELLON
;BARCLAYS
;BBT
;BNP PARIBAS
;BPCE
;CAPITAL ONE
CITIGROUP INC;CITIGROUP
CITIZENS FINANCIAL GROUP INC;CITIZENS FINANCIAL GROUP
COMERICA INC;COMERICA
;CREDIT AGRICOLE
;CREDIT SUISSE
;DEUTSCHE BANK
;DISCOVER
FIFTH THIRD BANCORP;FIFTH THIRD
;GOLDMAN SACHS
;HSBC
HUNTINGTON BANCSHARES;HUNTINGTON
;INDUSTRIAL AND COMMERCIAL BANK OF CHINA
JPMORGAN CHASE & CO;JPMORGAN
KEYCORP;KEYCORP
;LLOYDS
;MITSUBISHI UFJ
;MIZUHO
;MORGAN STANLEY
M & T BANK CORP;MT BANK
;NORINCHUKIN
;NORTHERN TRUST
PNC FINANCIAL SVCS GROUP INC;PNC FINANCIAL
;RABOBANK
REGIONS FINANCIAL CORP;REGIONS FINANCIAL CORPORATION
;ROYAL BANK OF CANADA
;SOCIETE GENERALE
;STANDARD CHARTERED
;STATE STREET
;SUMITOMO MITSUI
SUNTRUST BANKS INC;SUNTRUST
;TORONTO DOMINION BANK
;UBS
WELLS FARGO & CO;WELLS FAGO
ZIONS BANCORPORATION NA;ZIONS
