TITLE VIII;<div class="ex1
Payment;EconomicOperands
clearing;EconomicOperands
and;LogicalConnectors
settlement supervision;EconomicOperands
SEC 801;<div class="ex4
Short title;Other
This;FunctionWords
title;Other
may;FunctionWords
be;FunctionWords
cited;Other
as;LogicalConnectors
the;FunctionWords
Payment Clearing and Settlement Supervision Act of 2010;LegalReferences
SEC 802;<div class="ex4
Findings;EconomicOperands
purposes;EconomicOperands
a;FunctionWords
Congress;EconomicOperands
finds;EconomicOperands
following;FunctionWords
1;Attributes
The;FunctionWords
proper functioning;EconomicOperands
of;FunctionWords
financial markets;EconomicOperands
is;FunctionWords
dependent;EconomicOperands
upon;FunctionWords
safe;EconomicOperands
efficient;EconomicOperands
arrangements;EconomicOperands
for;LogicalConnectors
settlement;EconomicOperands
payment;EconomicOperands
securities;EconomicOperands
other;FunctionWords
financial transactions;EconomicOperands
2;<div class="ex6
Financial;EconomicOperands
market;EconomicOperands
utilities;EconomicOperands
that;FunctionWords
conduct;EconomicOperands
or;LogicalConnectors
support;EconomicOperands
multilateral;EconomicOperands
activities;EconomicOperands
reduce;EconomicOperands
risks;EconomicOperands
their;FunctionWords
participants;EconomicOperands
broader;EconomicOperands
financial system;EconomicOperands
but;LogicalConnectors
such;FunctionWords
also;LogicalConnectors
concentrate;EconomicOperands
create;EconomicOperands
new;EconomicOperands
thus;LogicalConnectors
must;FunctionWords
well;Attributes
designed;EconomicOperands
operated;EconomicOperands
in;FunctionWords
sound;EconomicOperands
manner;Other
3;<div class="ex6
activities conducted;EconomicOperands
by;FunctionWords
financial institutions;EconomicOperands
present;FunctionWords
important;EconomicOperands
to;FunctionWords
participating;EconomicOperands
4;<div class="ex6
Enhancements;EconomicOperands
regulation and supervision;EconomicOperands
systemically important;EconomicOperands
financial;EconomicOperands
conduct of;EconomicOperands
are;FunctionWords
necessary;Attributes
A;<div class="ex7
provide;EconomicOperands
consistency;EconomicOperands
B;<div class="ex7
promote;EconomicOperands
robust;Attributes
risk management;EconomicOperands
safety;EconomicOperands
soundness;EconomicOperands
C;<div class="ex7
systemic risks;EconomicOperands
D;<div class="ex7
stability;EconomicOperands
b;<div class="ex5
Purpose;EconomicOperands
purpose;EconomicOperands
this;FunctionWords
title is;LegalReferences
mitigate;RegulatoryOperators
systemic risk;EconomicOperands
financial stability;EconomicOperands
authorizing;RegulatoryOperators
Board of Governors;EconomicOperands
uniform;EconomicOperands
standards;EconomicOperands
management;EconomicOperands
providing;EconomicOperands
an;FunctionWords
enhanced;EconomicOperands
role;EconomicOperands
supervision;EconomicOperands
strengthening;EconomicOperands
liquidity;EconomicOperands
SEC 803;<div class="ex4
Definitions;EconomicOperands
In;FunctionWords
this title;LegalReferences
definitions;EconomicOperands
shall;RegulatoryOperators
apply;RegulatoryOperators
Appropriate financial regulator;EconomicOperands
term;Other
appropriate financial regulator;EconomicOperands
means;Other
primary financial regulatory agency;EconomicOperands
defined;EconomicOperands
section 2;LegalReferences
this Act;LegalReferences
National Credit Union Administration;EconomicOperands
with respect to;LogicalConnectors
any;FunctionWords
insured credit union;EconomicOperands
under;FunctionWords
the Federal Credit Union Act 12 USC 1751 et seq;LegalReferences
organizations;EconomicOperands
operating;EconomicOperands
section 25A;LegalReferences
the Federal Reserve Act 12 USC 611;LegalReferences
financial institution;EconomicOperands
engaged;EconomicOperands
designated activity;EconomicOperands
Designated activity;EconomicOperands
payment clearing or settlement activity;EconomicOperands
Council;EconomicOperands
has;FunctionWords
designated;RegulatoryOperators
section 804;LegalReferences
Designated clearing entity;EconomicOperands
designated clearing entity;EconomicOperands
designated financial market utility;EconomicOperands
that is;LogicalConnectors
derivatives clearing organization;EconomicOperands
registered;EconomicOperands
section;Other
the Commodity Exchange Act 7 USC 7a-1;LegalReferences
agency;EconomicOperands
with;FunctionWords
Securities and Exchange Commission;EconomicOperands
the Securities Exchange Act of 1934 15 USC 78q-1;LegalReferences
Designated financial market utility;EconomicOperands
financial market utility;EconomicOperands
5;<div class="ex6
Financial institution;EconomicOperands
In general;FunctionWords
i;<div class="ex8
depository institution;EconomicOperands
section 3;LegalReferences
the Federal Deposit Insurance Act 12 USC 1813;LegalReferences
ii;<div class="ex8
branch;EconomicOperands
foreign bank;EconomicOperands
section 1b;LegalReferences
the International Banking Act of 1978 12 USC 3101;LegalReferences
iii;<div class="ex8
organization;EconomicOperands
section 25;LegalReferences
the Federal Reserve Act;LegalReferences
through;FunctionWords
iv;<div class="ex8
credit union;EconomicOperands
section 101;LegalReferences
the Federal Credit Union Act 12 USC 1752;LegalReferences
v;<div class="ex8
broker;EconomicOperands
dealer;EconomicOperands
the Securities Exchange Act of 1934 15 USC 78c;LegalReferences
vi;<div class="ex8
investment company;EconomicOperands
the Investment Company Act of 1940;LegalReferences
15;<div class="ex6
vii;<div class="ex8
insurance company;EconomicOperands
viii;<div class="ex8
investment adviser;EconomicOperands
section 202;LegalReferences
the Investment Advisers Act of 1940;LegalReferences
ix;<div class="ex8
futures commission merchant;EconomicOperands
commodity trading advisor;EconomicOperands
commodity pool operator;EconomicOperands
the Commodity Exchange Act;LegalReferences
7;<div class="ex6
x;<div class="ex8
company;EconomicOperands
nature;EconomicOperands
incidental;EconomicOperands
activity;EconomicOperands
described;Other
section 4;LegalReferences
the Bank Holding Company Act of 1956 12 USC 1843k;LegalReferences
Exclusions;LogicalConnectors
does not;FunctionWords
include;LogicalConnectors
contract;EconomicOperands
markets;EconomicOperands
futures;EconomicOperands
associations;EconomicOperands
swap;EconomicOperands
data;EconomicOperands
repositories;EconomicOperands
execution facilities;EconomicOperands
the Commodity Exchange Act 7 USC 1 et seq;LegalReferences
national;EconomicOperands
exchanges;EconomicOperands
alternative;EconomicOperands
trading;EconomicOperands
systems;EconomicOperands
information;EconomicOperands
processors;EconomicOperands
solely;LogicalConnectors
entity;EconomicOperands
processor;EconomicOperands
security-based swap;EconomicOperands
the Securities Exchange Act of 1934 15 USC 78a et seq;LegalReferences
entities;EconomicOperands
provided that;LogicalConnectors
exclusions;LogicalConnectors
subparagraph;Other
only;LogicalConnectors
require;RegulatoryOperators
so;LogicalConnectors
6;<div class="ex6
Financial market utility;EconomicOperands
Inclusion;LogicalConnectors
person;EconomicOperands
manages;EconomicOperands
operates;EconomicOperands
system;EconomicOperands
for the purpose of;LogicalConnectors
transferring;EconomicOperands
settling;EconomicOperands
payments;EconomicOperands
among;FunctionWords
between;FunctionWords
by reason of;FunctionWords
facilities;EconomicOperands
comparison;EconomicOperands
respecting;FunctionWords
terms;Other
of securities;EconomicOperands
transactions;EconomicOperands
effected;EconomicOperands
on;FunctionWords
exchange;EconomicOperands
electronic;EconomicOperands
controlled;EconomicOperands
clause;LegalReferences
transfer;EconomicOperands
agent;EconomicOperands
introducing broker;EconomicOperands
functions;EconomicOperands
performed;EconomicOperands
institution;EconomicOperands
part;FunctionWords
brokerage;EconomicOperands
dealing;EconomicOperands
acting;EconomicOperands
on behalf of;FunctionWords
participant;EconomicOperands
therein;Other
in connection with;LogicalConnectors
furnishing;EconomicOperands
services;EconomicOperands
its;FunctionWords
use;EconomicOperands
do;FunctionWords
not;LogicalConnectors
constitute;EconomicOperands
critical;EconomicOperands
processing;EconomicOperands
functions of;EconomicOperands
Payment clearing or settlement activity;EconomicOperands
carried out;EconomicOperands
more;LogicalConnectors
facilitate;EconomicOperands
completion;EconomicOperands
offer;EconomicOperands
sale;EconomicOperands
security;EconomicOperands
the Securities Act of 1933 15 USC 77a et seq;LegalReferences
order;EconomicOperands
entry;EconomicOperands
negotiation;EconomicOperands
pre-trade;EconomicOperands
execution;EconomicOperands
Financial transaction;EconomicOperands
For;LogicalConnectors
subparagraph A;LegalReferences
financial transaction;EconomicOperands
includes;LogicalConnectors
funds;EconomicOperands
transfers;EconomicOperands
securities contracts;EconomicOperands
contracts;EconomicOperands
commodity;EconomicOperands
future;EconomicOperands
delivery;EconomicOperands
forward contracts;EconomicOperands
repurchase agreements;EconomicOperands
swaps;EconomicOperands
security-based swaps;EconomicOperands
swap agreements;EconomicOperands
security-based swap agreements;EconomicOperands
foreign exchange;EconomicOperands
xi;<div class="ex8
derivatives;EconomicOperands
xii;<div class="ex8
similar;LogicalConnectors
transaction;EconomicOperands
determines;RegulatoryOperators
Included;EconomicOperands
When;FunctionWords
conducted;EconomicOperands
calculation;EconomicOperands
communication;EconomicOperands
unsettled;EconomicOperands
counterparties;EconomicOperands
netting;EconomicOperands
provision;EconomicOperands
maintenance;EconomicOperands
trade;EconomicOperands
instrument;EconomicOperands
associated with;FunctionWords
continuing;EconomicOperands
transmittal;EconomicOperands
storage;EconomicOperands
instructions;EconomicOperands
movement;EconomicOperands
final;EconomicOperands
determine;RegulatoryOperators
Exclusion;EconomicOperands
public;EconomicOperands
reporting;EconomicOperands
section 727;LegalReferences
the Wall Street Transparency and Accountability Act of 2010;LegalReferences
8;<div class="ex6
Supervisory agency;EconomicOperands
Supervisory Agency;EconomicOperands
Federal agency;EconomicOperands
primary;EconomicOperands
jurisdiction;EconomicOperands
over;FunctionWords
Federal;EconomicOperands
banking;EconomicOperands
laws;EconomicOperands
as follows;FunctionWords
Commodity Futures Trading Commission;EconomicOperands
appropriate Federal banking agency;EconomicOperands
section 3q;LegalReferences
the Federal Deposit Insurance Act;LegalReferences
otherwise;LogicalConnectors
subject to;LogicalConnectors
listed in;Other
clauses i ii and iii;LegalReferences
Multiple;EconomicOperands
If;LogicalConnectors
jurisdictional;EconomicOperands
than;FunctionWords
then;LogicalConnectors
agencies;EconomicOperands
should;FunctionWords
agree;EconomicOperands
act;LegalReferences
if;LogicalConnectors
cannot;RegulatoryOperators
which;FunctionWords
decide;EconomicOperands
9;<div class="ex6
Systemically important;EconomicOperands
systemic importance;EconomicOperands
mean;Other
situation;EconomicOperands
where;FunctionWords
failure;EconomicOperands
disruption;EconomicOperands
functioning;EconomicOperands
could;FunctionWords
increase;EconomicOperands
risk;EconomicOperands
significant;Attributes
credit;EconomicOperands
problems;EconomicOperands
spreading;EconomicOperands
thereby;LogicalConnectors
threaten;EconomicOperands
United States;EconomicOperands
SEC 804;<div class="ex4
Designation;EconomicOperands
Financial Stability Oversight Council;EconomicOperands
nondelegable;EconomicOperands
basis;Other
vote;EconomicOperands
fewer than;LogicalConnectors
2/3;Attributes
members;EconomicOperands
serving;EconomicOperands
including;LogicalConnectors
affirmative vote;EconomicOperands
Chairperson;EconomicOperands
designate;EconomicOperands
those;FunctionWords
likely;Attributes
become;EconomicOperands
Considerations;EconomicOperands
determining;EconomicOperands
whether;LogicalConnectors
take into consideration;EconomicOperands
aggregate;EconomicOperands
monetary;EconomicOperands
value;EconomicOperands
processed;EconomicOperands
exposure;EconomicOperands
relationship;EconomicOperands
interdependencies;EconomicOperands
interactions;EconomicOperands
effect;EconomicOperands
would;FunctionWords
have;FunctionWords
E;<div class="ex7
Any;FunctionWords
factors;EconomicOperands
deems;RegulatoryOperators
appropriate;Attributes
Rescission;EconomicOperands
designation;EconomicOperands
rescind;EconomicOperands
utility;EconomicOperands
no longer;Attributes
meets;EconomicOperands
Effect;EconomicOperands
rescission;EconomicOperands
Upon;FunctionWords
conducting;EconomicOperands
will;FunctionWords
provisions;EconomicOperands
rules;EconomicOperands
orders;EconomicOperands
