key;category;id_key;id_category;category_count;total_count;_duplicate
"$100000";"Attributes";1;1;4156;7;1
"$1000000";"Attributes";2;1;4156;10;1
"$100000000";"Attributes";3;1;4156;4;1
"$10000000000";"Attributes";4;1;4156;18;1
"$140000";"Attributes";5;1;4156;2;1
"$20000000";"Attributes";6;1;4156;1;1
"$25000000";"Attributes";7;1;4156;3;1
"$30000000";"Attributes";8;1;4156;1;1
"$50000000";"Attributes";9;1;4156;4;1
"$50000000000";"Attributes";10;1;4156;19;1
"(";"FunctionWords";11;3;106909;3;1
"(1)";"LegalReferences";12;4;10729;428;1
"(1)(A)";"LegalReferences";13;4;10729;24;1
"(1)(B)";"LegalReferences";14;4;10729;16;1
"(1)(B))";"LegalReferences";15;4;10729;1;1
"(1)(F)";"LegalReferences";16;4;10729;4;1
"(1))";"LegalReferences";17;4;10729;22;1
"(10)";"LegalReferences";18;4;10729;12;1
"(10)(A)";"LegalReferences";19;4;10729;1;1
"(10)(B))";"LegalReferences";20;4;10729;1;1
"(11)";"LegalReferences";21;4;10729;9;1
"(12)";"LegalReferences";22;4;10729;10;1
"(12)(A)";"LegalReferences";23;4;10729;2;1
"(12)(B)";"LegalReferences";24;4;10729;1;1
"(13)";"LegalReferences";25;4;10729;8;1
"(13)(A)";"LegalReferences";26;4;10729;1;1
"(13)(B)";"LegalReferences";27;4;10729;1;1
"(14)";"LegalReferences";28;4;10729;4;1
"(15";"Attributes";29;1;4156;242;1
"(15)";"LegalReferences";30;4;10729;2;1
"(15)(A)";"LegalReferences";31;4;10729;1;1
"(16)";"LegalReferences";32;4;10729;1;1
"(17)";"LegalReferences";33;4;10729;2;1
"(17)(A)";"LegalReferences";34;4;10729;2;1
"(18)";"LegalReferences";35;4;10729;2;1
"(18)(A)";"LegalReferences";36;4;10729;1;1
"(18)(B)";"LegalReferences";37;4;10729;1;1
"(2)";"LegalReferences";38;4;10729;268;1
"(2)(A)";"LegalReferences";39;4;10729;13;1
"(2)(B)";"LegalReferences";40;4;10729;18;1
"(2))";"LegalReferences";41;4;10729;1;1
"(20";"Attributes";42;1;4156;2;1
"(22)";"LegalReferences";43;4;10729;1;1
"(23)";"LegalReferences";44;4;10729;2;1
"(28)";"LegalReferences";45;4;10729;1;1
"(29)";"LegalReferences";46;4;10729;1;1
"(3)";"LegalReferences";47;4;10729;139;1
"(3)(A)";"LegalReferences";48;4;10729;6;1
"(3)(B)";"LegalReferences";49;4;10729;6;1
"(30)";"LegalReferences";50;4;10729;1;1
"(31)";"LegalReferences";51;4;10729;2;1
"(32)";"LegalReferences";52;4;10729;4;1
