Reserve;EconomicOperands;11
System;EconomicOperands;8
provisions;EconomicOperands;1
Act;LegalReferences;39
amendments;Other;4
on;FunctionWords;62
emergency;EconomicOperands;9
lending;EconomicOperands;8
authority;EconomicOperands;15
The;FunctionWords;49
third;Attributes;4
undesignated;Other;7
paragraph;Other;16
of;FunctionWords;399
13;LegalReferences;2
343);LegalReferences;4
to;FunctionWords;179
authority);EconomicOperands;2
is;FunctionWords;52
amended;Other;11
by;FunctionWords;84
inserting;Other;16
before;LogicalConnectors;11
In;FunctionWords;3
unusual;Attributes;4
striking;Other;8
individual;EconomicOperands;6
partnership;EconomicOperands;3
or;LogicalConnectors;137
corporation;EconomicOperands;4
the;FunctionWords;619
first;LogicalConnectors;2
place;EconomicOperands;4
that;FunctionWords;46
term;Other;15
appears;Other;3
and;LogicalConnectors;186
following;FunctionWords;20
participant;EconomicOperands;11
in;FunctionWords;105
any;FunctionWords;77
program;EconomicOperands;34
facility;EconomicOperands;53
with;FunctionWords;38
eligibility;EconomicOperands;4
exchange;EconomicOperands;5
for;LogicalConnectors;52
an;FunctionWords;17
a;FunctionWords;106
such;FunctionWords;50
individuals;EconomicOperands;2
partnerships;EconomicOperands;1
corporations;EconomicOperands;1
may;FunctionWords;23
prescribe;RegulatoryOperators;2
as;LogicalConnectors;39
practicable;EconomicOperands;2
after;LogicalConnectors;30
date;EconomicOperands;40
enactment;Other;16
this;FunctionWords;3
subparagraph;Other;3
Board;EconomicOperands;29
shall;RegulatoryOperators;99
establish;RegulatoryOperators;5
regulation;EconomicOperands;7
consultation;EconomicOperands;6
Treasury;EconomicOperands;5
policies;EconomicOperands;10
procedures;EconomicOperands;12
governing;EconomicOperands;5
under;FunctionWords;78
Such;FunctionWords;4
be;FunctionWords;57
designed;EconomicOperands;1
ensure;RegulatoryOperators;4
providing;EconomicOperands;1
liquidity;EconomicOperands;3
system;EconomicOperands;5
not;LogicalConnectors;32
aid;EconomicOperands;1
failing;FunctionWords;1
company;EconomicOperands;12
security;EconomicOperands;3
loans;EconomicOperands;6
sufficient;Attributes;1
protect;EconomicOperands;1
taxpayers;EconomicOperands;5
from;FunctionWords;13
losses;EconomicOperands;4
timely;Attributes;2
orderly;EconomicOperands;1
established;RegulatoryOperators;16
require;RegulatoryOperators;2
reserve;EconomicOperands;27
bank;EconomicOperands;30
consistent;Attributes;2
sound;EconomicOperands;1
management;EconomicOperands;1
practices;EconomicOperands;1
protection;EconomicOperands;1
taxpayer;EconomicOperands;1
value;EconomicOperands;7
all;FunctionWords;9
collateral;EconomicOperands;13
loan;EconomicOperands;7
executed;EconomicOperands;1
determining;EconomicOperands;1
whether;LogicalConnectors;8
secured;EconomicOperands;1
purposes;EconomicOperands;12
prohibit;RegulatoryOperators;1
borrowing;EconomicOperands;1
programs;EconomicOperands;4
facilities;EconomicOperands;8
are;FunctionWords;14
insolvent;EconomicOperands;3
include;LogicalConnectors;5
certification;EconomicOperands;2
officer;EconomicOperands;2
(or;LogicalConnectors;1
other;FunctionWords;34
authorized;RegulatoryOperators;10
officer);EconomicOperands;1
at;FunctionWords;13
time;EconomicOperands;6
initially;LogicalConnectors;1
(with;FunctionWords;1
duty;EconomicOperands;1
update;EconomicOperands;1
if;LogicalConnectors;8
information;EconomicOperands;25
materially;EconomicOperands;1
changes);EconomicOperands;1
A;FunctionWords;8
considered;EconomicOperands;4
bankruptcy;EconomicOperands;4
resolution;EconomicOperands;29
II;LegalReferences;2
Federal;EconomicOperands;9
State;EconomicOperands;4
insolvency;EconomicOperands;2
proceeding;EconomicOperands;2
structured;EconomicOperands;1
assets;EconomicOperands;9
sheet;EconomicOperands;1
single;EconomicOperands;3
specific;FunctionWords;9
assisting;EconomicOperands;1
avoid;EconomicOperands;2
without;FunctionWords;5
approval;RegulatoryOperators;9
provide;EconomicOperands;7
Affairs;EconomicOperands;7
Senate;EconomicOperands;36
Services;EconomicOperands;6
Representatives;EconomicOperands;17
than;LogicalConnectors;16
7;Attributes;1
days;Attributes;8
authorizes;RegulatoryOperators;1
financial;EconomicOperands;13
assistance;EconomicOperands;19
report;EconomicOperands;16
includes;LogicalConnectors;1
exercise;EconomicOperands;7
identity;EconomicOperands;4
recipients;EconomicOperands;1
amount;EconomicOperands;14
form;EconomicOperands;2
which;FunctionWords;25
was;LogicalConnectors;4
provided;LogicalConnectors;16
material;EconomicOperands;2
terms;Other;6
including;LogicalConnectors;12
duration;EconomicOperands;1
pledged;EconomicOperands;3
thereof;FunctionWords;2
interest;EconomicOperands;9
fees;EconomicOperands;5
items;Other;2
received;EconomicOperands;4
requirements;EconomicOperands;1
imposed;EconomicOperands;1
employee;EconomicOperands;1
compensation;EconomicOperands;2
distribution;EconomicOperands;1
dividends;EconomicOperands;2
corporate;EconomicOperands;1
decision;EconomicOperands;2
expected;EconomicOperands;3
costs;EconomicOperands;1
once;FunctionWords;1
every;FunctionWords;1
outstanding;EconomicOperands;3
written;EconomicOperands;9
updates;EconomicOperands;1
final;EconomicOperands;1
cost;EconomicOperands;1
required;RegulatoryOperators;9
submitted;EconomicOperands;3
Congress;EconomicOperands;18
(C);LegalReferences;2
related;FunctionWords;3
participants;EconomicOperands;10
amounts;EconomicOperands;10
each;FunctionWords;12
identifying;EconomicOperands;6
details;EconomicOperands;6
concerning;LogicalConnectors;4
held;EconomicOperands;3
kept;EconomicOperands;1
confidential;EconomicOperands;2
upon;FunctionWords;7
request;EconomicOperands;9
Chairman;EconomicOperands;14
case;LogicalConnectors;1
made;FunctionWords;10
available;EconomicOperands;10
only;LogicalConnectors;4
Chairpersons;EconomicOperands;1
Members;EconomicOperands;2
Committees;EconomicOperands;1
described;Other;13
If;LogicalConnectors;8
entity;EconomicOperands;11
has;FunctionWords;9
becomes;EconomicOperands;1
defined;EconomicOperands;3
201;LegalReferences;1
while;LogicalConnectors;1
net;EconomicOperands;2
loss;EconomicOperands;2
then;LogicalConnectors;5
have;FunctionWords;6
claim;EconomicOperands;1
against;FunctionWords;3
same;LogicalConnectors;8
obligation;EconomicOperands;5
210(b);LegalReferences;1
Conforming;Other;1
amendment;Other;3
507(a)(2);LegalReferences;1
11;LegalReferences;5
Code;LegalReferences;13
unsecured;EconomicOperands;2
claims;EconomicOperands;1
through;FunctionWords;3
section;Other;39
title;LegalReferences;4
References;EconomicOperands;1
On;FunctionWords;2
reference;EconomicOperands;2
provision;EconomicOperands;6
law;EconomicOperands;6
deemed;RegulatoryOperators;4
so;LogicalConnectors;3
designated;RegulatoryOperators;7
audits;EconomicOperands;5
special;EconomicOperands;3
credit;EconomicOperands;8
Audits;EconomicOperands;1
714;LegalReferences;2
31;LegalReferences;8
adding;Other;6
end;Other;9
Definitions;EconomicOperands;3
subsection;LegalReferences;12
definitions;EconomicOperands;3
apply;RegulatoryOperators;5
means;Other;7
vehicle;EconomicOperands;1
Governors;EconomicOperands;29
audit;EconomicOperands;13
(e);LegalReferences;2
transaction;EconomicOperands;25
open;EconomicOperands;2
market;EconomicOperands;4
window;EconomicOperands;3
advance;EconomicOperands;2
meets;EconomicOperands;1
definition;EconomicOperands;1
11(s);LegalReferences;2
Authority;EconomicOperands;3
examinations;EconomicOperands;3
(3);LegalReferences;4
notwithstanding;LogicalConnectors;1
limitation;EconomicOperands;1
(b);LegalReferences;1
oversight;EconomicOperands;1
certain;FunctionWords;2
States;EconomicOperands;5
conduct;EconomicOperands;4
General;EconomicOperands;19
determines;RegulatoryOperators;4
appropriate;Attributes;3
solely;LogicalConnectors;2
assessing;EconomicOperands;1
operational;EconomicOperands;2
integrity;EconomicOperands;2
accounting;EconomicOperands;3
reporting;EconomicOperands;3
internal;EconomicOperands;3
controls;EconomicOperands;3
effectiveness;EconomicOperands;5
mitigating;EconomicOperands;2
risk;EconomicOperands;2
relevant;Attributes;8
one;FunctionWords;2
