file_name;Attributes;UniqueAttributes;EconomicOperands;UniqueEconomicOperands;FunctionWords;UniqueFunctionWorsd;LegalReferences;UniqueLegalReferences;LogicalConnectors;UniqueLogicalConnectors;Other;UniqueOther;RegulatoryOperators;UniqueRegulatoryOperators
title_8.html;117;41;2407;826;2224;115;203;108;842;78;92;34;260;56
title_0.html;7;6;356;227;434;43;92;52;130;24;73;20;29;10
title_12.html;22;10;447;256;432;62;40;25;143;26;30;15;49;16
title_5.html;88;53;2280;1020;2078;126;142;89;716;79;164;56;170;45
title_13.html;5;4;293;124;399;48;43;30;121;22;36;12;24;7
title_9.html;689;164;16052;3421;17045;346;1704;640;5425;191;1745;146;1420;161
title_16.html;1;1;40;26;38;18;6;6;22;14;14;12;5;4
title_15.html;67;31;1140;542;1488;98;118;64;374;55;98;28;95;32
title_14.html;446;112;9034;2264;10027;259;909;359;3444;168;962;138;734;105
title_4.html;71;34;1180;540;1352;122;156;82;438;67;119;36;100;31
title_1.html;320;101;6763;1936;6660;192;522;198;2139;131;339;65;718;98
title_7.html;900;146;19657;3458;19020;306;1903;629;7440;205;1818;135;1940;134
title_11.html;84;42;1906;755;2318;127;239;131;705;87;193;52;210;45
title_3.html;165;62;4003;1239;5396;191;884;452;1853;112;1175;97;282;62
title_10.html;655;131;18574;3674;20520;331;2282;729;7146;198;1809;160;1830;148
title_6.html;262;77;4654;1503;5462;175;624;318;1820;111;538;86;451;91
title_2.html;330;91;9463;2039;11091;240;754;296;3886;144;459;80;837;104
