Word;Type;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
0,00%;OPERAND;1;1;2;1;1;1;2;2;1;1;1;1;3;2;1;1;3;0;1;1;1;1;3;1;1;1;1;1;2;1;1;1;1;1;5;1;1;2;1;1;55
10,00%;OPERAND;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;12
100,00%;OPERAND;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;40
20,00%;OPERAND;0;1;0;0;0;1;0;1;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;11
30,00%;OPERAND;1;0;1;2;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;14
40,00%;OPERAND;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0;2;0;0;12
50,00%;OPERAND;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;6
60,00%;OPERAND;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;7
70,00%;OPERAND;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;11
80,00%;OPERAND;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4
90,00%;OPERAND;0;0;0;2;1;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;2;1;0;1;0;0;0;0;0;0;18
a;UNCLASSIFIED;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;11
All;MATHEMATICAL OPERATOR;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;40
an;UNCLASSIFIED;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;12
and;LOGICAL OPERATOR;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
are;UNCLASSIFIED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
asset maturity;OPERAND;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;13
assets;OPERAND;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;40
bank;OPERAND;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;7
by;UNCLASSIFIED;2;2;1;3;0;1;3;2;0;0;0;1;0;2;0;3;0;1;1;2;1;0;2;3;2;1;1;0;5;3;2;2;1;1;1;1;0;0;0;0;50
Capital Instrument;OPERAND;2;2;2;2;0;1;1;1;0;1;0;1;0;0;0;2;0;1;1;1;2;0;1;0;1;2;0;0;2;2;0;2;1;0;2;0;0;0;0;0;33
Cash;OPERAND;0;0;1;1;0;1;0;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;21
central bank;OPERAND;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
central government;OPERAND;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5
Claims;OPERAND;1;1;0;3;0;1;2;3;1;1;0;0;2;2;0;3;3;0;1;1;1;0;2;2;1;1;1;0;1;1;2;2;2;0;1;1;0;0;0;0;43
denominated;OPERAND;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;9
development;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
domestic;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Fixed Asset;OPERAND;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;28
for;UNCLASSIFIED;5;6;6;6;3;5;6;6;5;5;3;3;5;6;3;5;5;4;5;5;6;3;6;6;6;5;3;3;6;5;5;5;5;5;6;5;2;5;3;3;190
from;UNCLASSIFIED;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
guaranteed;OPERAND;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;1;0;2;1;1;1;1;0;0;0;0;0;0;0;17
in;UNCLASSIFIED;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;9
Investment;OPERAND;1;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;28
is;UNCLASSIFIED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;7
is:;REGULATORY OPERATOR;5;6;6;6;3;5;6;6;5;5;3;3;5;6;3;5;5;4;5;5;6;3;6;6;6;5;3;3;6;5;5;5;5;5;6;5;2;5;3;3;190
issued;OPERAND;2;1;1;2;0;1;2;1;0;0;0;1;0;1;0;2;0;1;1;1;1;0;0;1;0;1;0;0;2;2;1;1;0;0;1;0;0;0;0;0;27
issuer;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
less;MATHEMATICAL OPERATOR;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8
Loans;OPERAND;0;1;0;2;0;0;1;1;1;1;0;0;1;2;0;2;2;0;1;1;1;0;1;0;0;0;0;0;2;0;0;2;0;1;1;0;0;1;0;0;25
more;MATHEMATICAL OPERATOR;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;5
mortgages;OPERAND;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;2;0;1;0;0;1;0;1;0;1;0;0;11
multilateral development bank;OPERAND;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;12
national currency;OPERAND;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;9
occupied;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;6
OECD country;OPERAND;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
OECD State;OPERAND;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;11
on;UNCLASSIFIED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
one;OPERAND;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;13
or;LOGICAL OPERATOR;2;2;1;6;0;0;1;4;2;2;0;1;2;2;0;7;2;0;2;0;3;0;3;1;3;1;0;1;6;2;1;6;3;1;3;0;0;2;0;0;72
other;LOGICAL OPERATOR;3;5;4;7;1;1;3;4;4;3;1;2;4;4;1;6;5;2;4;1;6;2;6;3;2;2;1;1;4;2;2;7;4;3;5;2;1;4;2;1;125
owner;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3
property;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;6
public sector;OPERAND;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
public sector entities;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
public-sector entity;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4
Real Estate;OPERAND;1;1;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;1;1;1;25
tenant;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3
than;UNCLASSIFIED;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;13
the;UNCLASSIFIED;6;6;6;6;3;5;6;6;5;5;3;3;5;6;3;5;5;4;5;6;6;3;7;8;9;5;3;3;7;5;5;5;5;6;6;6;2;5;3;3;201
weight;OPERAND;5;6;6;6;3;5;6;6;5;5;3;3;5;6;3;5;5;4;5;5;6;3;6;6;6;5;3;3;6;5;5;5;5;5;6;5;2;5;3;3;190
where;LOGICAL OPERATOR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;7
which;OPERAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
with;UNCLASSIFIED;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;13
year;OPERAND;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;2;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;13
