THE PRIVATE FUND INVESTMENT ADVISERS REGISTRATION ACT OF 2010;0;LegalReferences
COMMITTEE ON BANKING HOUSING AND URBAN AFFAIRS;94;EconomicOperands
COMMITTEE ON FINANCIAL SERVICES OF THE HOUSE;82;EconomicOperands
THE COMMODITY EXCHANGE ACT 7 USC 1 ET SEQ;12;LegalReferences
THE SMALL BUSINESS INVESTMENT ACT OF 1958;0;LegalReferences
COMPTROLLER GENERAL OF THE UNITED STATES;58;EconomicOperands
FINANCIAL INDUSTRY REGULATORY AUTHORITY;1;EconomicOperands
FINANCIAL STABILITY OVERSIGHT COUNCIL;23;EconomicOperands
COMMODITY FUTURES TRADING COMMISSION;151;EconomicOperands
THE INVESTMENT ADVISERS ACT OF 1940;34;LegalReferences
SECURITIES AND EXCHANGE COMMISSION;160;EconomicOperands
THE INVESTMENT ADVISER ACT OF 1940;0;LegalReferences
THE INVESTMENT COMPANY ACT OF 1940;21;LegalReferences
SOFTWARE CONTAINING INTELLECTUAL;0;EconomicOperands
INVESTMENT ADVISERS ACT OF 1940;10;LegalReferences
SELF-REGULATORY ORGANIZATION;41;EconomicOperands
THE COMMODITIES EXCHANGE ACT;0;LegalReferences
CODE OF FEDERAL REGULATIONS;11;LegalReferences
THE COMMODITY EXCHANGE ACT;62;LegalReferences
THE SECURITIES ACT OF 1933;20;LegalReferences
COMMODITY TRADING ADVISOR;9;EconomicOperands
COMMODITY POOL OPERATOR;9;EconomicOperands
FOREIGN PRIVATE ADVISER;0;EconomicOperands
VOLUNTARY PILOT PROGRAM;0;EconomicOperands
INVESTMENT ADVISERS ACT;0;LegalReferences
REPORTING REQUIREMENTS;19;EconomicOperands
SUCCESSORS-IN-INTEREST;0;EconomicOperands
INVESTMENT ADVISER ACT;0;LegalReferences
EMPLOYMENT STRUCTURES;0;EconomicOperands
SUBPARAGRAPHS A AND B;26;LegalReferences
FINANCIAL INNOVATION;0;EconomicOperands
VENTURE CAPITAL FUND;0;EconomicOperands
17 CFR PARTS 2752042;0;LegalReferences
