category	category_count	category_unique_count	title
"Attributes"	602	87	1
"EconomicOperands"	6926	1300	1
"FunctionWords"	6616	118	1
"LegalReferences"	921	197	1
"LogicalConnectors"	2271	103	1
"MathematicalOperators"	53	17	1
"Other"	317	46	1
"RegulatoryOperators"	729	70	1
"Attributes"	565	89	2
"EconomicOperands"	10430	1468	2
"FunctionWords"	11047	133	2
"LegalReferences"	2424	295	2
"LogicalConnectors"	4479	119	2
"MathematicalOperators"	62	14	2
"Other"	405	49	2
"RegulatoryOperators"	852	79	2
"Attributes"	513	64	3
"EconomicOperands"	4326	823	3
"FunctionWords"	5348	100	3
"LegalReferences"	1640	463	3
"LogicalConnectors"	2052	73	3
"MathematicalOperators"	43	12	3
"Other"	1028	57	3
"RegulatoryOperators"	335	45	3
"Attributes"	137	39	4
"EconomicOperands"	1202	403	4
"FunctionWords"	1333	81	4
"LegalReferences"	268	110	4
"LogicalConnectors"	466	60	4
"MathematicalOperators"	16	5	4
"Other"	88	26	4
"RegulatoryOperators"	117	29	4
"Attributes"	191	65	5
"EconomicOperands"	2342	717	5
"FunctionWords"	1977	87	5
"LegalReferences"	330	121	5
"LogicalConnectors"	828	65	5
"MathematicalOperators"	15	6	5
"Other"	127	40	5
"RegulatoryOperators"	163	36	5
"Attributes"	459	71	6
"EconomicOperands"	4667	967	6
"FunctionWords"	5428	102	6
"LegalReferences"	1073	312	6
"LogicalConnectors"	1960	80	6
"MathematicalOperators"	73	13	6
"Other"	419	54	6
"RegulatoryOperators"	503	64	6
"Attributes"	1590	115	7
"EconomicOperands"	19918	2010	7
"FunctionWords"	18899	146	7
"LegalReferences"	4236	591	7
"LogicalConnectors"	8195	132	7
"MathematicalOperators"	157	15	7
"Other"	1323	67	7
"RegulatoryOperators"	2195	84	7
"Attributes"	231	46	8
"EconomicOperands"	2470	586	8
"FunctionWords"	2226	78	8
"LegalReferences"	387	147	8
"LogicalConnectors"	882	68	8
"MathematicalOperators"	6	5	8
"Other"	65	24	8
"RegulatoryOperators"	263	46	8
"Attributes"	1603	187	9
"EconomicOperands"	17065	2344	9
"FunctionWords"	16750	158	9
"LegalReferences"	3136	687	9
"LogicalConnectors"	5826	147	9
"MathematicalOperators"	211	21	9
"Other"	1297	66	9
"RegulatoryOperators"	1614	109	9
"Attributes"	1505	140	10
"EconomicOperands"	20372	2582	10
"FunctionWords"	19813	158	10
"LegalReferences"	3736	720	10
"LogicalConnectors"	7938	147	10
"MathematicalOperators"	141	20	10
"Other"	1547	85	10
"RegulatoryOperators"	1916	110	10
"Attributes"	170	52	11
"EconomicOperands"	2101	620	11
"FunctionWords"	2254	80	11
"LegalReferences"	387	127	11
"LogicalConnectors"	764	69	11
"MathematicalOperators"	22	7	11
"Other"	141	33	11
"RegulatoryOperators"	220	37	11
"Attributes"	53	19	12
"EconomicOperands"	522	227	12
"FunctionWords"	430	51	12
"LegalReferences"	68	25	12
"LogicalConnectors"	155	26	12
"MathematicalOperators"	1	1	12
"Other"	21	9	12
"RegulatoryOperators"	49	15	12
"Attributes"	38	15	13
"EconomicOperands"	354	135	13
"FunctionWords"	369	36	13
"LegalReferences"	73	39	13
"LogicalConnectors"	141	23	13
"MathematicalOperators"	11	2	13
"Other"	24	10	13
"RegulatoryOperators"	31	7	13
"Attributes"	993	161	14
"EconomicOperands"	10658	1905	14
"FunctionWords"	9732	146	14
"LegalReferences"	1732	396	14
"LogicalConnectors"	3389	125	14
"MathematicalOperators"	220	22	14
"Other"	670	74	14
"RegulatoryOperators"	866	90	14
"Attributes"	104	33	15
"EconomicOperands"	1410	514	15
"FunctionWords"	1434	71	15
"LegalReferences"	229	69	15
"LogicalConnectors"	376	43	15
"MathematicalOperators"	17	3	15
"Other"	71	22	15
"RegulatoryOperators"	106	30	15
"Attributes"	6	3	16
"EconomicOperands"	37	27	16
"FunctionWords"	36	14	16
"LegalReferences"	10	9	16
"LogicalConnectors"	22	12	16
"Other"	12	10	16
"RegulatoryOperators"	3	2	16
